date,price,cost,comp1_price,comp2_price,comp3_price,volume
2023-01-01,97.66,86.46,98.39,99.1,97.37,13513
2023-01-02,96.46,87.25,95.37,96.25,97.38,13605
2023-01-03,94.67,86.4,94.41,94.69,94.5,16540
2023-01-04,97.32,87.51,99.12,96.9,97.54,14927
2023-01-05,94.08,86.38,93.31,94.61,93.85,13332
2023-01-06,96.73,88.24,97.27,97.17,97.23,13643
2023-01-07,98.63,87.79,98.31,99.22,99.34,13603
2023-01-08,100.89,88.0,101.76,101.22,101.35,14638
2023-01-09,97.71,88.68,99.49,99.68,97.38,13867
2023-01-10,97.14,89.05,96.02,98.24,96.82,13471
2023-01-11,101.3,88.72,100.1,100.59,101.82,15250
2023-01-12,100.19,86.62,100.81,99.88,98.65,13293
2023-01-13,95.88,86.9,95.49,95.23,94.96,13154
2023-01-14,97.48,87.42,97.87,96.26,97.52,12938
2023-01-15,97.04,87.44,96.18,98.43,97.78,13381
2023-01-16,96.87,87.4,94.87,96.7,97.02,14275
2023-01-17,96.84,86.4,98.17,99.17,96.44,14412
2023-01-18,96.39,86.81,98.05,95.97,97.3,14773
2023-01-19,96.53,86.22,97.42,96.83,97.65,14538
2023-01-20,94.51,86.12,94.03,92.7,94.2,13507
2023-01-21,95.11,85.24,94.37,93.98,94.71,13049
2023-01-22,98.01,85.91,96.11,98.35,98.39,13520
2023-01-23,96.01,85.56,95.42,94.35,95.69,14336
2023-01-24,98.72,85.84,100.18,99.93,98.15,15100
2023-01-25,96.48,86.94,95.69,95.95,96.96,15050
2023-01-26,95.69,85.42,95.4,96.19,95.8,13280
2023-01-27,100.22,87.95,100.08,98.67,99.89,13479
2023-01-28,93.17,86.19,92.92,93.44,93.43,13517
2023-01-29,91.16,86.06,92.47,89.55,92.39,13910
2023-01-30,93.61,85.19,94.24,91.96,93.34,13387
2023-01-31,98.79,86.22,98.5,97.11,98.66,13949
2023-02-01,93.46,85.19,93.73,95.29,92.97,14500
2023-02-02,101.08,86.1,100.57,101.99,100.82,14741
2023-02-03,96.29,87.8,97.42,97.14,96.85,14584
2023-02-04,94.93,85.7,95.89,97.59,97.3,13413
2023-02-05,99.67,86.76,99.19,98.9,100.45,13909
2023-02-06,100.43,85.19,100.52,100.95,98.35,13939
2023-02-07,101.65,85.7,101.25,100.76,102.31,14468
2023-02-08,97.19,86.53,98.34,98.71,99.21,15045
2023-02-09,96.5,84.55,94.73,97.73,97.87,14970
2023-02-10,95.63,86.3,98.49,96.38,97.33,14323
2023-02-11,98.02,85.69,96.57,96.43,97.78,14478
2023-02-12,93.21,84.84,94.53,93.13,94.58,13004
2023-02-13,94.59,85.65,92.05,93.49,95.24,14052
2023-02-14,96.87,85.82,96.71,94.76,96.87,14033
2023-02-15,94.48,85.25,93.69,96.13,95.78,14337
2023-02-16,91.79,83.55,93.37,92.38,92.33,14582
2023-02-17,95.64,84.04,95.44,95.78,94.86,13653
2023-02-18,95.45,84.61,95.57,95.95,96.85,15440
2023-02-19,94.64,84.81,94.58,93.16,95.92,13217
2023-02-20,97.71,84.9,98.54,98.12,97.63,13290
2023-02-21,90.71,84.66,92.48,90.47,93.44,15220
2023-02-22,92.0,83.51,93.71,93.06,94.58,13798
2023-02-23,93.21,84.56,95.11,91.76,92.21,14211
2023-02-24,90.54,84.86,89.57,93.12,90.29,13759
2023-02-25,95.25,85.06,96.51,95.8,94.75,13827
2023-02-26,96.12,85.63,95.49,95.5,95.7,13856
2023-02-27,99.18,85.27,97.4,99.56,97.77,13394
2023-02-28,95.71,84.94,94.87,95.35,97.55,14553
2023-03-01,92.58,84.64,92.41,93.14,93.02,14300
2023-03-02,98.24,83.75,98.38,97.66,97.5,13449
2023-03-03,96.03,85.11,97.42,97.81,96.11,14107
2023-03-04,96.74,84.91,97.58,97.34,94.76,12329
2023-03-05,94.55,84.7,92.8,94.98,94.53,12929
2023-03-06,91.36,83.35,91.42,91.72,89.3,13139
2023-03-07,90.75,83.67,91.67,91.27,93.94,15466
2023-03-08,96.79,85.47,98.01,96.69,97.49,16372
2023-03-09,99.09,84.69,99.34,98.34,101.7,13632
2023-03-10,99.25,85.42,98.08,98.6,100.81,12394
2023-03-11,93.14,85.04,91.46,92.94,93.88,12977
2023-03-12,94.69,84.9,92.86,95.07,92.55,13029
2023-03-13,96.49,85.62,96.33,97.41,96.89,14218
2023-03-14,91.91,84.94,91.81,92.01,93.11,14406
2023-03-15,96.82,85.36,97.25,96.08,94.37,14380
2023-03-16,94.24,85.33,93.96,94.82,93.24,14536
2023-03-17,94.54,84.76,94.5,92.87,93.2,14081
2023-03-18,92.69,85.03,93.03,91.92,92.42,11901
2023-03-19,95.18,85.42,94.67,96.71,96.94,13290
2023-03-20,92.78,84.86,94.12,92.56,94.87,14407
2023-03-21,92.06,86.1,93.25,94.09,92.56,14303
2023-03-22,88.08,84.14,88.32,88.24,86.08,15938
2023-03-23,95.25,84.59,94.88,92.63,95.39,13661
2023-03-24,98.79,84.49,97.55,97.18,97.21,13222
2023-03-25,99.11,86.15,98.79,99.06,97.45,13375
2023-03-26,95.86,85.16,94.28,96.13,94.39,12715
2023-03-27,93.98,85.56,93.27,94.91,95.15,12837
2023-03-28,92.85,83.68,93.53,93.29,94.5,14540
2023-03-29,94.03,85.12,93.8,93.61,92.66,15358
2023-03-30,95.61,85.63,95.08,94.68,96.07,14023
2023-03-31,97.02,84.94,97.14,97.56,96.1,13038
2023-04-01,98.06,85.74,98.66,97.73,96.85,13712
2023-04-02,93.87,84.66,92.73,94.36,93.74,13051
2023-04-03,97.24,86.23,95.14,97.14,96.34,13350
2023-04-04,96.05,86.69,96.13,93.65,95.26,14426
2023-04-05,92.8,84.75,92.12,91.7,93.27,15229
2023-04-06,94.15,84.61,93.69,93.57,93.16,15955
2023-04-07,97.19,85.61,96.8,97.38,96.16,14119
2023-04-08,96.25,85.76,98.37,96.07,95.41,14067
2023-04-09,92.38,84.35,92.49,89.91,92.92,12853
2023-04-10,96.42,84.42,96.81,96.96,98.84,13535
2023-04-11,94.93,84.47,95.35,94.48,92.45,14417
2023-04-12,93.19,83.4,95.1,94.56,92.78,15131
2023-04-13,92.62,83.61,93.09,91.65,92.44,13534
2023-04-14,88.25,83.47,88.71,88.21,89.87,13682
2023-04-15,95.63,83.46,94.42,96.38,94.78,13330
2023-04-16,94.25,83.93,94.58,93.54,94.71,13578
2023-04-17,91.76,84.21,94.17,93.26,91.68,14684
2023-04-18,96.27,85.56,96.11,95.88,95.79,14746
2023-04-19,95.68,83.81,96.25,95.29,96.89,14539
2023-04-20,92.98,85.26,92.78,91.62,92.41,13784
